lon,lat,residents,age_0_24,age_25_64,dwellings
-8.364267,41.483188,37,13,19,11
-8.350852,41.484682,311,78,204,131
-8.345701,41.484543,89,29,43,29
-8.343501,41.483274,179,54,103,62
-8.354699,41.484658,119,45,67,39
-8.356232,41.484102,50,18,30,15
-8.367081,41.482802,30,6,19,10
-8.257648,41.484244,61,10,32,21
-8.348287,41.484731,584,153,356,227
-8.346779,41.485118,66,16,37,27
-8.280782,41.482505,93,25,52,29
-8.226566,41.484067,27,12,13,10
-8.260932,41.484188,88,23,55,30
-8.349057,41.48556,66,15,43,22
-8.331653,41.484312,31,9,18,9
-8.252526,41.48503,34,8,25,13
-8.34495,41.485575,6,1,3,3
-8.279896,41.484375,62,16,40,23
-8.324803,41.483993,33,9,14,12
-8.367288,41.485128,21,4,11,8
-8.351364,41.484783,85,28,42,29
-8.269157,41.483345,44,7,28,17
-8.360925,41.485064,16,2,11,6
-8.3542,41.485768,135,29,74,54
-8.391095,41.482666,0,0,0,0
-8.318672,41.485815,56,10,45,17
-8.221534,41.482412,0,0,0,0
-8.297105,41.483473,1,0,1,1
-8.409354,41.447469,27,10,15,9
-8.356182,41.448367,43,9,26,15
-8.313272,41.485727,30,7,23,9
-8.254591,41.485324,116,25,82,38
-8.288683,41.4852,0,0,0,0
-8.343278,41.48687,75,17,44,29
-8.37425,41.485846,28,3,18,11
-8.322277,41.486183,64,21,35,19
-8.383387,41.482532,0,0,0,0
-8.259903,41.487329,43,5,16,16
-8.336647,41.484337,15,0,9,7
-8.357501,41.487721,29,7,13,10
-8.283042,41.48655,68,13,44,24
-8.320811,41.487504,33,12,19,9
-8.306349,41.487145,35,9,20,15
-8.349562,41.487366,193,49,116,75
-8.34803,41.487631,0,0,0,0
-8.354651,41.487495,90,21,49,38
-8.370961,41.48642,59,1,18,6
-8.340786,41.48806,27,2,16,9
-8.261134,41.488288,21,2,11,9
-8.243074,41.483621,0,0,0,0
-8.346198,41.487783,112,29,69,42
-8.339696,41.487687,115,22,55,41
-8.281817,41.488198,37,12,17,11
-8.344113,41.48752,80,22,45,30
-8.34253,41.488304,35,11,20,12
-8.319648,41.488129,54,14,32,19
-8.261873,41.487247,38,12,23,11
-8.40061,41.451456,40,11,25,15
-8.396156,41.441604,66,21,41,22
-8.399568,41.442668,13,3,3,5
-8.404859,41.443878,42,3,18,17
-8.394281,41.444294,47,10,31,16
-8.400326,41.445585,33,9,12,13
-8.396381,41.444324,125,29,77,43
-8.400851,41.444676,98,16,49,40
-8.394354,41.36408,29,9,14,10
-8.36968,41.365715,6,0,3,3
-8.358791,41.368627,103,23,51,34
-8.386472,41.37388,42,10,25,15
-8.381991,41.374174,27,3,13,11
-8.254836,41.510878,30,5,20,12
-8.39419,41.445794,57,15,40,21
-8.359676,41.508789,46,15,25,14
-8.380525,41.510699,37,16,18,10
-8.302269,41.508647,11,3,7,4
-8.290854,41.511977,77,21,42,26
-8.35239,41.510015,85,23,40,29
-8.317798,41.511305,47,10,30,15
-8.323477,41.510759,46,18,22,10
-8.384508,41.510054,29,7,17,10
-8.239298,41.511655,15,4,10,5
-8.34956,41.511691,10,3,7,3
-8.342968,41.512149,47,13,24,15
-8.314565,41.51068,84,26,45,34
-8.385734,41.37496,19,2,14,11
-8.388867,41.375494,121,40,69,41
-8.377129,41.374451,103,27,55,33
-8.321333,41.375377,39,8,22,13
-8.330254,41.376546,24,4,14,8
-8.384693,41.377131,88,17,58,35
-8.349711,41.376669,62,16,27,20
-8.304801,41.519697,54,14,29,22
-8.323718,41.522369,62,13,40,20
-8.294191,41.520252,38,7,27,11
-8.372345,41.52,16,2,9,6
-8.386548,41.518387,12,2,6,5
-8.289138,41.521194,41,15,20,10
-8.321978,41.522647,36,12,18,14
-8.327931,41.522038,73,15,34,28
-8.316701,41.520468,15,3,6,5
-8.308893,41.520752,35,10,20,13
-8.345761,41.521856,58,18,33,19
-8.368352,41.521774,20,2,7,9
-8.327447,41.523592,24,3,10,10
-8.333972,41.520921,93,23,56,27
-8.320044,41.509983,56,14,35,22
-8.325294,41.509585,32,5,19,10
-8.336614,41.5069,0,0,0,0
-8.244576,41.509876,26,5,14,11
-8.37691,41.510014,18,5,11,6
-8.289614,41.51068,29,6,12,13
-8.328079,41.510011,12,2,4,5
-8.252664,41.511564,103,31,69,29
-8.369091,41.511166,21,2,15,7
-8.34632,41.374585,88,24,47,34
-8.383751,41.374776,56,8,29,24
-8.362468,41.376007,32,3,20,12
-8.352165,41.37739,81,14,48,28
-8.334978,41.377735,51,10,30,19
-8.332119,41.377475,48,9,28,20
-8.32004,41.37787,49,13,30,17
-8.363534,41.445006,7,1,2,3
-8.406863,41.44595,123,34,63,43
-8.355828,41.446306,48,10,24,18
-8.365865,41.446047,58,11,38,21
-8.351148,41.447094,26,5,15,8
-8.358594,41.446845,1,0,0,1
-8.300639,41.523024,46,10,21,17
-8.411264,41.44741,67,16,34,22
-8.355852,41.449391,21,1,15,10
-8.408145,41.448043,71,18,42,25
-8.36417,41.449404,69,14,43,27
-8.415392,41.449767,74,16,39,28
-8.366348,41.523041,28,8,16,8
-8.270212,41.523895,19,4,12,6
-8.347866,41.523663,19,5,9,8
-8.252659,41.518127,64,16,40,20
-8.263164,41.522068,0,0,0,0
-8.328446,41.525673,15,5,8,7
-8.240251,41.519746,0,0,0,0
-8.277906,41.522771,6,2,3,1
-8.380005,41.521058,0,0,0,0
-8.272708,41.525895,48,9,23,17
-8.297779,41.52499,96,20,44,34
-8.274326,41.52657,29,6,12,12
-8.290285,41.524747,16,5,9,5
-8.355874,41.524331,2,0,0,1
-8.2682,41.526814,26,5,14,12
-8.327354,41.527146,68,18,39,25
-8.322869,41.525605,47,9,27,18
-8.339568,41.524351,75,26,44,20
